region,crop,year,forecast_method,90%tile precipitation,90%tile precipitation (mm/day),90%tile precipitation (mm/day) years,aod,avg,ch4,ch4 (ppbv),ch4 avg (ppbv),ch4 day (ppbv),ch4 night (ppbv),co avg (ppbv),co day (ppbv),co day ppbv,co night (ppbv),co ppbv,co sfc conc (ppbv),co surface concentration (ppbv),co surface mass concentration (ppbv),co_day (ppbv),co_night (ppbv),day o3,net downward shortwave radiation,net dw sw wm-2,net sw land,net sw land wm-2,o3 avg,o3 sfc mass conc.,o3 total column 0.25 deg,o3 total column 1 deg,o3_total column o3 du,ozone 0.25,ozone 1 deg.,ozone sfc mass conc.,pm2.5 ugm-3,shortwave radiation,so2 column amount,so2 column du,so2 conc (ugm-3),so2 sfc ms cnc,so2 ugm-3,surface skin temp,surface skin temp avg,surface skin temp day,surface skin temp night,surface skin temp years,total column o3 du,total column ozone dobson,total o3 column,yield_lag1,yield_lag2,yield_pred
GKP,wheat,2021,past_only,,,,0.6689607055000001,,1435.2515730018658,,,963.6802614876033,1906.8228845161286,135.56476035,,118.5672414,152.5622793,,,,,,,,,,,,,,270.5256772,270.5086429,,,,,92.900725,,-0.010303024,,,,,,,,,,,,,3.6959816013736,4.01753719845043,3.5731738380113622
GKP,wheat,2022,past_only,,,,0.6689607055000001,,1435.2515730018658,,,963.6802614876033,1906.8228845161286,135.56476035,,118.5672414,152.5622793,,,,,,,,,,,,,,270.5256772,270.5086429,,,,,92.900725,,-0.010303024,,,,,,,,,,,,,3.5731738380113622,3.6959816013736,3.726322726520314
GKP,wheat,2023,past_only,,,,0.6689607055000001,,1435.2515730018658,,,963.6802614876033,1906.8228845161286,135.56476035,,118.5672414,152.5622793,,,,,,,,,,,,,,270.5256772,270.5086429,,,,,92.900725,,-0.010303024,,,,,,,,,,,,,3.726322726520314,3.5731738380113622,3.9950465871982423
GKP,wheat,2024,past_only,,,,0.6689607055000001,,1435.2515730018658,,,963.6802614876033,1906.8228845161286,135.56476035,,118.5672414,152.5622793,,,,,,,,,,,,,,270.5256772,270.5086429,,,,,92.900725,,-0.010303024,,,,,,,,,,,,,3.9950465871982423,3.726322726520314,4.160757713399424
GKP,wheat,2025,past_only,,,,0.6689607055000001,,1435.2515730018658,,,963.6802614876033,1906.8228845161286,135.56476035,,118.5672414,152.5622793,,,,,,,,,,,,,,270.5256772,270.5086429,,,,,92.900725,,-0.010303024,,,,,,,,,,,,,4.160757713399424,3.9950465871982423,4.162331322592529
GKP,wheat,2026,past_only,,,,0.6689607055000001,,1435.2515730018658,,,963.6802614876033,1906.8228845161286,135.56476035,,118.5672414,152.5622793,,,,,,,,,,,,,,270.5256772,270.5086429,,,,,92.900725,,-0.010303024,,,,,,,,,,,,,4.162331322592529,4.160757713399424,4.114605466604245
GKP,wheat,2027,past_only,,,,0.6689607055000001,,1435.2515730018658,,,963.6802614876033,1906.8228845161286,135.56476035,,118.5672414,152.5622793,,,,,,,,,,,,,,270.5256772,270.5086429,,,,,92.900725,,-0.010303024,,,,,,,,,,,,,4.114605466604245,4.162331322592529,4.12920437690574
GKP,wheat,2028,past_only,,,,0.6689607055000001,,1435.2515730018658,,,963.6802614876033,1906.8228845161286,135.56476035,,118.5672414,152.5622793,,,,,,,,,,,,,,270.5256772,270.5086429,,,,,92.900725,,-0.010303024,,,,,,,,,,,,,4.12920437690574,4.114605466604245,4.210085709650766
GKP,wheat,2029,past_only,,,,0.6689607055000001,,1435.2515730018658,,,963.6802614876033,1906.8228845161286,135.56476035,,118.5672414,152.5622793,,,,,,,,,,,,,,270.5256772,270.5086429,,,,,92.900725,,-0.010303024,,,,,,,,,,,,,4.210085709650766,4.12920437690574,4.282673362718672
GKP,wheat,2030,past_only,,,,0.6689607055000001,,1435.2515730018658,,,963.6802614876033,1906.8228845161286,135.56476035,,118.5672414,152.5622793,,,,,,,,,,,,,,270.5256772,270.5086429,,,,,92.900725,,-0.010303024,,,,,,,,,,,,,4.282673362718672,4.210085709650766,4.3003008263443565
