region,crop,year,90%tile precipitation,90%tile precipitation (mm/day),90%tile precipitation (mm/day) years,aod,avg,ch4,ch4 (ppbv),ch4 avg (ppbv),ch4 day (ppbv),ch4 night (ppbv),co avg (ppbv),co day (ppbv),co day ppbv,co night (ppbv),co ppbv,co sfc conc (ppbv),co surface concentration (ppbv),co surface mass concentration (ppbv),co_day (ppbv),co_night (ppbv),day o3,net downward shortwave radiation,net dw sw wm-2,net sw land,net sw land wm-2,o3 avg,o3 sfc mass conc.,o3 total column 0.25 deg,o3 total column 1 deg,o3_total column o3 du,ozone 0.25,ozone 1 deg.,ozone sfc mass conc.,pm2.5 ugm-3,shortwave radiation,so2 column amount,so2 column du,so2 conc (ugm-3),so2 sfc ms cnc,so2 ugm-3,surface skin temp,surface skin temp avg,surface skin temp day,surface skin temp night,surface skin temp years,total column o3 du,total column ozone dobson,total o3 column,yield_lag1,yield_lag2,yield_pred
PYG,rice,2030,,28.285278607496366,,0.4934925203863654,,,,1925.4610687894728,1913.6039108947357,1937.3182266842095,,,,,,142.6688063727272,,,,,,,,,174.53310905303022,,,,,,,,,,,,,12.870452830703584,,,,28.369478491731144,32.63541986175605,24.103537121706253,2030.0000000000005,269.7242426158008,,,3.7269558809990606,3.6812201669802613,3.766821457713344
PYG,wheat,2021,,29.94632613001579,,0.7569021023285742,,,1866.6379424561385,,,,135.1520471956146,,,154.31593065263155,,,,,115.988163738597,,,153.8364462204761,,,,,,,,,265.4596269433828,265.4596269433828,,87.54253143666665,,,0.08130073056617704,,,,,19.496740014983622,27.311180342483595,11.68229968748362,,,,,2.81500042711922,3.55316675523838,2.4815225777359333
PYG,wheat,2022,,29.761765294180293,,0.7729389982707815,,,1868.465836175437,,,,134.06256449754437,,,154.4202410010526,,,,,113.70488799403574,,,153.31549469463175,,,,,,,,,265.9552972593142,265.9552972593142,,88.12500064400433,,,0.08569079334804108,,,,,19.46988001793511,27.231082075610544,11.708677960259678,,,,,2.4815225777359333,2.81500042711922,2.884226888347513
PYG,wheat,2023,,29.577204458344795,,0.7889758942129959,,,1870.2937298947352,,,,132.97308179947413,,,154.52455134947365,,,,,111.42161224947449,,,152.79454316878764,,,,,,,,,266.4509675752456,266.4509675752456,,88.70746985134201,,,0.09008085612990335,,,,,19.443020020886607,27.150983808737465,11.735056233035735,,,,,2.884226888347513,2.4815225777359333,3.5243755645211086
PYG,wheat,2024,,29.392643622509297,,0.8050127901552031,,,1872.1216236140333,,,,131.8835991014039,,,154.6288616978947,,,,,109.13833650491233,,,152.27359164294353,,,,,,,,,266.94663789117703,266.94663789117703,,89.28993905867969,,,0.0944709189117674,,,,,19.416160023838096,27.070885541864385,11.761434505811792,,,,,3.5243755645211086,2.884226888347513,3.7909513178982994
PYG,wheat,2025,,29.2080827866738,,0.8210496860974104,,,1873.9495173333314,,,,130.79411640333365,,,154.73317204631576,,,,,106.85506076035108,,,151.75264011709942,,,,,,,,,267.44230820710845,267.44230820710845,,89.87240826601737,,,0.09886098169362967,,,,,19.38930002678959,26.990787274991334,11.787812778587849,,,,,3.7909513178982994,3.5243755645211086,3.644898354819518
PYG,wheat,2026,,29.0235219508383,,0.8370865820396176,,,1875.7774110526295,,,,129.7046337052634,,,154.8374823947368,,,,,104.57178501578983,,,151.2316885912553,,,,,,,,,267.9379785230399,267.9379785230399,,90.45487747335505,,,0.10325104447549371,,,,,19.36244002974108,26.910689008118254,11.814191051363899,,,,,3.644898354819518,3.7909513178982994,3.397030168610272
PYG,wheat,2027,,28.83896111500286,,0.8531234779818249,,,1877.6053047719276,,,,128.61515100719362,,,154.94179274315786,,,,,102.28850927122858,,,150.71073706541097,,,,,,,,,268.4336488389713,268.4336488389713,,91.03734668069274,,,0.10764110725735598,,,,,19.335580032692576,26.830590741245175,11.840569324139956,,,,,3.397030168610272,3.644898354819518,3.337529286516504
PYG,wheat,2028,,28.654400279167362,,0.8691603739240321,,,1879.4331984912258,,,,127.52566830912338,,,155.04610309157889,,,,,100.00523352666733,,,150.18978553956686,,,,,,,,,268.9293191549027,268.9293191549027,,91.61981588803042,,,0.11203117003922003,,,,,19.308720035644065,26.750492474372095,11.866947596916013,,,,,3.337529286516504,3.397030168610272,3.5482138166730355
PYG,wheat,2029,,28.469839443331864,,0.8851972698662394,,,1881.2610922105239,,,,126.43618561105313,,,155.15041343999994,,,,,97.72195778210607,,,149.66883401372274,,,,,,,,,269.42498947083413,269.42498947083413,,92.2022850953681,,,0.1164212328210823,,,,,19.28186003859556,26.670394207499044,11.89332586969207,,,,,3.5482138166730355,3.337529286516504,3.840331500353997
